,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
164,0.9061725550435227,0.7678260869565218,2,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),139(s),144,164,,,,,,,,,,,
165,0.9061725550435227,0.7678260869565218,2,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),146(s),165,,,,,,,,,,,,
166,0.9061725550435227,0.7678260869565218,2,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),146(s),166,,,,,,,,,,,,
167,0.899720942140297,0.8452173913043477,3,7,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),150,167,,,,,,,,,,,
168,0.899720942140297,0.8452173913043477,3,2,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),150,168,,,,,,,,,,,
169,0.8610240655401945,0.856687370600414,18,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),169(s),,,,,,,,,,,,
170,0.8875320020481311,0.8337474120082817,4,6,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),170(s),,,,,,,,,,,,
171,0.897567844342038,0.8595859213250516,5,8,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),171(s),,,,,,,,,,,,
172,0.8796466973886329,0.8681573498964804,7,9,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),172,,,,,,,,,,,,
173,0.9061725550435227,0.7678260869565218,2,25,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),173,,,,,,,,,,,,
174,0.8875320020481311,0.8337474120082817,4,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),150,168,174,,,,,,,,,,
175,1.0,0.7993788819875777,1,2,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),150,168,175,,,,,,,,,,
176,1.0,0.7993788819875777,1,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),146(s),165,176,,,,,,,,,,,
177,1.0,0.7993788819875777,1,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),146(s),165,177,,,,,,,,,,,
178,0.8753533026113672,0.8738716356107661,8,6,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),178(s),,,,,,,,,,,,
179,0.897567844342038,0.8595859213250516,5,3,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),179(s),,,,,,,,,,,,
180,0.8689016897081412,0.8624016563146997,9,3,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),180(s),,,,,,,,,,,,
181,0.8932667690732208,0.8594616977225673,6,16,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),172,181,,,,,,,,,,,
182,0.897567844342038,0.8595859213250516,5,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),172,182,,,,,,,,,,,
183,0.897567844342038,0.8595859213250516,5,7,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),171(s),183,,,,,,,,,,,
184,0.8689016897081412,0.8624016563146997,9,3,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),171(s),184,,,,,,,,,,,
185,1.0,0.7993788819875777,1,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),150,168,174,185.0,,,,,,,,,
186,0.9061725550435227,0.7678260869565218,2,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),142(s),150,168,174,186.0,,,,,,,,,
187,1.0,0.7993788819875777,1,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),146(s),165,177,187,,,,,,,,,,
188,1.0,0.7993788819875777,1,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),146(s),165,177,188,,,,,,,,,,
189,0.9061725550435227,0.7678260869565218,2,41,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),173,189,,,,,,,,,,,
190,1.0,0.7993788819875777,1,35,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),141(s),173,190,,,,,,,,,,,
191,0.8717639528929851,0.8681573498964804,10,8,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),178(s),191(s),,,,,,,,,,,
192,0.8717639528929851,0.8681573498964804,10,8,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),178(s),192(s),,,,,,,,,,,
193,0.8932667690732208,0.8594616977225673,6,6,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),178(s),193(s),,,,,,,,,,,
194,0.8753533026113672,0.8738716356107661,8,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),180(s),194,,,,,,,,,,,
195,1.0,0.7993788819875777,1,5,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),180(s),195,,,,,,,,,,,
196,0.8610240655401945,0.8509730848861283,17,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),171(s),184,196,,,,,,,,,,
197,0.8875320020481311,0.8337474120082817,4,2,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),171(s),184,197,,,,,,,,,,
198,1.0,0.7993788819875777,1,4,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),179(s),198,,,,,,,,,,,
199,1.0,0.7993788819875777,1,5,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),145(s),179(s),199,,,,,,,,,,,
